발화문,상황
에피타이저 정말 좋아해. 그 것도 괜찮은 생각인 것 같애.,neutral
난 부페 형식의 음식들도 정말 좋아해. 그 것도 좀 알려 줘.,neutral
내가 좋아하는 유튜버가 좋은 제품이라고 하길래 나도 샀지. 그런데 그게 돈 받고 하는 광고였대잖아.,angry
그래서 사람들이 증거 사진을 올렸더니 그 때서야 광고였다고 미안하다고 하는 거야.,angry
처음부터 자기 잘못을 알고 미안하다고 했으면 화가 이렇게 나진 않았을 거야. 사람들이 증거를 올리니까 그 때서야 사과하는 게 진정성이 느껴지지가 않아.,angry
내 휴가가 엉망진창이 돼버렸어.,angry
휴가 시작함과 동시에 장마도 같이 시작해버렸어. 그래서 하루 종일 비가 와.,angry
여름 휴가는 뭐니뭐니 해도 여름 바다야. 그런데 지금 이렇게 비가 많이 오니 바다를 갈 수가 없어.,angry
그 동안 바빠서 한 번을 휴가를 못 갔어. 한 1년만인 거 같애.,angry
집에서 즐길 수 있는 영화나 게임 그런 것 좀 소개 좀 해줘.,angry
화장실은 청소를 해도 곰팡이는 없어지질 않아. 어떻게 해야 돼.,angry
맞아. 우리 집은 화장실에 창문 하나도 없어. 그러니 습기가 빠져나갈 데가 없어.,angry
맞아. 장마철이라 더 많은 곰팡이가 피는 것 같애. 그래서 하루 종일 락스로 닦았더니 머리까지 아파 이젠.,angry
"곰팡이 제거제라는 것도 있었어? 아이, 그런 걸로 청소를 했어야 하는 건데.",angry
당연히 구매해서 써봐야지. 당장에 구매할게.,angry
으! 쓰레기통에서 역겨운 냄새가 나기 시작했어.,disgust
며칠 전에 버린 음식물 쓰레기 때문에 그렇게 된 것 같애.,disgust
당연히 바로 묶어서 버렸지. 하지만 냄새가 사라지질 않아.,disgust
"음식물 쓰레기 냄새, 방향제 냄새까지 섞이면 이상할까 봐서 못 뿌렸어.",disgust
내 잘못이니 어쩔 수 없지. 다음부턴 안 그럴 거야.,disgust
내일 친구 만나는데 뭘 먹어야 될지 정말 고민이야.,neutral
음식점이 많기로 소문 난 강남역에서 만나기로 했어.,neutral
난 일식을 좋아하지만 그래도 양식도 좋아하기도 해. 둘 다 먹을 수 있어.,neutral
에피타이저 푸짐하게 주는 집이면 더 좋지. 그런 곳을 알려 줘.,neutral
그렇지. 빨리 알려 줘. 내 친구랑 의논해서 내일 정말 맛있게 먹고 올게.,neutral
아니 요즘은 왜들 다 이러는 건지 이해할 수가 없어.,angry
내가 좋아하는 유튜버가 괜찮은 제품이라고 하나 소개해서 나도 샀거든. 그랬더니 그게 돈 받고 하는 광고였대.,angry
더 실망스러운 건 모르는 척 하는 거야. 그래서 우리가 증거를 들이밀었지. 그랬더니 그 때서야 우리한테 사과하더라고.,angry
억지로 하는 사과가 진정성이 있었을까? 우리가 더 상처 받은 느낌이야.,angry
기분이 좀 나아진다면 그런 영상도 필요할 거라고 생각해. 좀 부탁해.,angry
나 아무래도 혼자 갇힌 것 같애.,fear
자고 일어났더니 온 마을이 다 물바다야. 나 혼자 있어. 무서워.,fear
"내가 잠이 들면 업어가도 몰라. 그래서 재난 문자랑 피하라는 전화도 못 받고, 그냥 잠만 자고 있었나 봐.",fear
우리 집 주위에 다 물로 차 있어. 나갈 수가 없어.,fear
내 몸은 괜찮아. 다친 덴 없어. 그리고 우리 집까진 아직 들어오지 않았어.,fear
"내일 친구랑 만나기로 했는데, 뭘 먹을지 모르겠어.",neutral
강남역에서 만나기로 했는데 아직도 뭘 먹을지 못 정했어.,neutral
강남역에 맛집이 너무 많으니까 더 못 고르겠더라고. 나는 일식을 좋아하니까 일식을 먹었으면 좋겠어.,neutral
"평점과 리뷰가 좋다고 하니까, 어떤.",neutral
평점과 리뷰가 좋다고 하니까 엄청 맛있을 거 같아. 너가 추천한 곳으로 가서 친구랑 맛있게 먹을게.,neutral
내 휴가가 엉망이야.,angry
"오늘부터 휴가 기간인데, 휴가 기간 내내 비 소식이 있어. 너무 짜증 나.",angry
"가족들이랑 동해 바다로 가서 놀고 오기로 했는데, 비가 와서 망했어.",angry
휴가 기간 내내 비가 온다니까 아무래도 집에서 보낼 수 있는 방법을 찾아봐야 될 거 같아. 쉬면서 휴가를 즐겁게 보낼 수 있는 방법을 찾아볼게.,angry
휴가 기간 내내 비가 온다고 하니까 아무래도 집에서 휴가를 보낼 수 있는 방법을 찾아 봐야 할 거 같아.,angry
쓰레기통에서 냄새가 나서 쓰레기통 안을 뒤져봤더니 음식물 쓰레기가 상해서 냄새가 나는 거였어.,disgust
쓰레기통에서 냄새가 진동을 하고 날파리가 생겨서 지금 당장 쓰레기를 묶어서 버려야 할 거 같아.,disgust
고약한 냄새가 너무 심해서 방향제로 해결이 안 될 수도 있을 거 같아.,disgust
힘들어도 내가 쓰레기통에 음식물 쓰레기를 버려서 생긴 일이니까 얼른 치워야지. 어쩌겠어.,disgust
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
화장실에 환기를 자주 시키는데 왜 이렇게 곰팡이가 안 없어질까?,angry
계속 비가 오니까 습기가 많아서 곰팡이가 정말 안 없어지나 봐. 볼 때마다 청소를 하니까 너무 힘들어.,angry
화장실에 곰팡이를 없애는데 곰팡이 제거제가 효과가 있을까?,angry
곰팡이 제거제가 곰팡이를 없애는 데 효과가 있다고 하니까 나 한번 구매해서 사용해볼래. 괜찮은 걸로 추천 좀 해줘봐.,angry
내가 좋아하는 유튜버가 뒷광고를 했다고 시청자들한테 사과하는 영상을 올렸어.,angry
"며칠 전에 자기는 뒷광고를 하지 않았다고 이야기했는데, 뒷광고 했다고 사과 영상을 올리니까 너무 어이가 없고 실망스러워.",angry
지금은 너무 화가 나서 기분 전환용 영상도 보기 싫어! 아무 영상도 보기가 싫어!,angry
기분 전환용 영상이 어떤 건데? 궁금하긴 하네.,angry
나 아무래도 갇힌 거 같아!,fear
잠을 자고 일어났는데 나 혼자 집 안에 갇힌 거 같아. 너무 무서워.,fear
"집 밖을 살펴봤는데, 집 주변까지 물이 차올라서, 밖으로 나갈 수 있는 상황이 아니야.",fear
다행히 집 안에까지는 물이 들어오지 않았어. 몸도 괜찮지만 혼자 있는 거 자체가 너무 무섭고 두려워.,fear
"내일 친구랑 밥 먹기로 했는데, 뭘 먹어야 될지 걱정이야.",neutral
음식점이 너무 많은 강남역에서 만나기로 했어.,neutral
