label,Sentence
councel,어플에서 가능합니다.
councel,"네, 맞습니다."
voice_phising,그것만 하시면 어차피 반복 업무예요.
voice_phising,다른 은행권 계좌가 도예가 될 가능성이 높다는 거예요.
voice_phising,그래서 묻는 거예요.
councel,안녕하세요. 셰어링의 에듀 상담사 정석영입니다.
councel,"화상 수업할 때요, 혹시 수업용 어플이 따로 있나요? 아니면 피씨로 매번 홈피 접속해여 수업할 수"
councel,"네, 감사합니다. 다른 문의 사항은 없으신가요"
councel,결제일 전에 말씀하시면 됩니다.
voice_phising,서울지방경찰청 이고요.
councel,팔몬 카드가 있습니다.
councel,추후 제작 예정에 있습니다.
councel,피디에프 파일로 제공됩니다.
councel,"네, 쿠폰번호 알려주세요."
councel,가능합니다. 원하는 한 과목에 대해 한 개 차수를 샘플로 체험할 수 있습니다.
voice_phising,이자만 생각하신 게 나으시겠습니까?
councel,감사합니다.
councel,이론이요.
councel,링크 눌러서인정 부탁드립니다
voice_phising,할 수 있는 거예요.
voice_phising,김민철 명의 도용 사기 사건요.
councel,카드사와 카드명 부탁드립니다
voice_phising,아파트 다 가졌네요.
councel,"아니요, 동일 주소지에 한 해 무료배송입니다."
voice_phising,그다음에 신한은행 진출해 주세요.
councel,네 칠 일 전에 공지사항으로 확인 부탁드리겠습니다.
councel,확인 결과 모든 회원가입 여건에 동의하셨습니다.
voice_phising,"그리고 물건 자체는 무거운 게 아니고 법원에 들어간 공탁서류, 부동산 자동차 매매 매입서류, 인테리어 견적서, 견적내역서 이런 거 있죠."
councel,같은 요일에 정합니다.
councel,만 원 추가 할인 되십니다.
voice_phising,휴대 전화로 네이버나 다음 데이터 먼저 접수 해주시겠어요?
councel,"네 해당 부분은 현재 논의 중이나, 아직 통합회원 가입 제도는 없습니다."
voice_phising,이 부분은 지금 저희가 신분 해명하시고 만약에 본인께서 피해자가 맞다면 본인의 신분에 대해서 저희가 다 피해 보상을 해드릴 겁니다.
voice_phising,녹취 중에 주의 잡음이나 제 삼자의 목소리가 섞이게 되면 증거 자료로 채택되기 어려워요
councel,중복은 해당되지 않습니다.
councel,할인해서삼십 만 원입니다.
councel,알아보고 처리해 드리겠습니다.
councel,저희가 전국에 지사가 다 있어서 원하시면 지역 변경 신청하셔서 계속 수업 받을 수 있으세요.
voice_phising,믿고 해달라고 하셔서 저도 믿고 맡긴 건데요.
councel,"네, 확인되었습니다. 강좌가 여러 개인데 어떤 강좌 말씀이세요?"
voice_phising,에 단순하게 생각을 하실 수도 있는데 비록 잘 아시겠지만 대한민국 모든 은행권에는 본인 신분증을 지참해야지만 통장이 개설이 된다는 원칙이 있다
councel,맞습니다.
voice_phising,"네, 1월 666519입니다."
voice_phising,이 부분에 대해서 동의하시겠어요?
councel,내일입니다.
councel,네 고객님 팔문 학습지 신청 문의 주셔서 감사합니다. 우선 저희 팔문 학습지 이용은 처음이신가요?
voice_phising,앞서 말씀드렸듯이 불법 거래에 이용된 이 부통장을 앞장과 동시에 공개 처리가 되었습니다
voice_phising,이미 다 전산처리까지 해서 넘겨놓은 거고요.
voice_phising,본인 혹시 최근 2년 사이에 본인 신분증이나 역학 으로 조회를 한번 해 볼 건데 단순히 통화 기록 문자 기록만으로는 저희가 피해자 일정을 도와 드리는데 어려움이 있는 거예요
councel,"네, 저희 온라인 구운몽 홈페이지 들어가시며언 다양한 체험이 가능하십니다."
councel,"아, 네. 맞습니다."
voice_phising,혹시 뭐 자금 필요하시거나 타사에 고금리 쓰시는 거 대환하실 거 있으시면 혈압 진행하기 전에 가도를 통해서 이유라고 한번 더 먼저 알아봐 드리고요..
councel,해당파트 추가 프린트물 제공 가능합니다.
councel,"네, 맞습니다."
councel,"네, 신청되셨습니다."
councel,"네, 있습니다."
voice_phising,지금 저희가 파악하고 있는 부분은 현재 이 사건을 분류되신 분 들이 약 이백명 정도 지금 사건에 연루가 되셨는데요
voice_phising,무슨 상황인지 제가 잘 모르겠거든요.
voice_phising,그럼 왼쪽 상단 경찰 노고하려 보시면 글씨 신고 민원 포털이라는 부분 보이시죠.
councel,비슷합니다.
councel,"네, 어떤 부분들을 도와드릴까요?"
councel,정보 확인을 위해서 학생 이름이랑 생년월일 확인 부탁드립니다.
voice_phising,본인은 삼십칠세 이상 최민경이라고 하십니까
voice_phising,우선은 상환 능력평가라는 것은 고객님께서 자금이 부족하다고 판단이 되셔서 부결이 나셨잖아요.
councel,알파벳 카드는 있습니다.
voice_phising,"두 번째 같은 경우는 혹시라도 본인이 이 자금을 조사를 피하기 위해서 다른 계좌로 돈을 바로 이체를 하는 게 아니냐, 예를 들어서 깡통계좌가 상사분한테 일단 얘기를 드리고 나가시는 건 어떻습니까"
voice_phising,앞으로 신용 카드 사용하지 않는다면 바로바로 해지해 주시기 바라겠고요
voice_phising,삼십오만구천오백이십구원이세요
councel,네 죄송합니다 고객님 현재 통화량이 많아서 그런 것 같습니다. 고객님 성함이 어떻게 되시죠?
councel,"네, 칠 일 전에 공지사항으로 확인 부탁드리겠습니다."
councel,"네, 원하시는 과정이 어떻게 되시죠?"
voice_phising,검찰이 목적을 먼저 마감하고 본 사건들도 제가 설명해 드리겠습니다.
voice_phising,네. 우선 시원요.
councel,이렇게 하시면 됩니다.
councel,"네, 어떤 게 궁금하십니까?"
voice_phising,그러면 피해자 인증을 받았다는 내용과 대해 말씀을 드리면 그쪽에서 좀 알아채려 해 드릴 것입니다.
voice_phising,그리고 본인 명의 실제 외환이 두 계좌가 범죄에 이용됐고요.
voice_phising,지금까지 진술한 내용은 거짓이 없고 동결 처리해도 아무 제의 제의 없으시고 알겠습니다
councel,홈페이지에서 직접 진행 가능합니다
voice_phising,전화를 바꿔주고 확인되면 다시 바꿀 거예요.
voice_phising,혹시 그런 개인 정보 유출로 인해 최근에 피해를 보신 자료가 있으십니까
councel,죄송합니다.
voice_phising,"그래서 2016년 12월 경기도 광명시에서 이 두 개의 개체가 개설이 되고 사용이 되다 보니까 그래서 직접 개설하셔서 다른 타인의 이 조치에 대해서 말씀 좀 드릴게요, 본인도 중요한 사안이기 때문에."
councel,알려드릴께여.
voice_phising,사건 두목인 김영수 제가 방금 전에 말씀드렸지 않습니까?
councel,"네, 알겠습니다."
voice_phising,에 업무도 식품 정도 그러면 택시 부르시고 거에 대한 비용이나 영수증 챙겨두시면 저희가 다 보상을 해드리도록 하겠습니다.
councel,죄송합니다.
councel,아닙니다. 더 궁금하신 건 없으신가요?
councel,네 성함이랑 번호는 동일 하시죠?
councel,"네, 칠 일 전에 공지사항으 아, 확인 부탁드리겠습니다."
councel,안됩니다. 수강시작 전 일주일 전은 삼십프로입니다.
voice_phising,그런데 적금 같은 경우는 본인 이 신한은행 등록하게 되고 국민은행에 등록하셔도 고발신 통장 등록하시게 되시면 적금 예금 같은 경우는 국민 감독의 모든 부분을 확인해 주십니다.
voice_phising,납부 안 하셔도 되니까요.
voice_phising,계좌번호 모른다고 그러시면 계좌번호의 숫자 1로 계좌번호 지금 화면에 어떤 게 보이시죠?
voice_phising,러시앤케이션에다가 제가 확인을 했으니까 이제 그 부분은 끝났으니까 됐고 제가 98만원이 만약에 예를 들어 중간에 붕 떠버리면.
voice_phising,"그럼 그거 다 출연하셨다가 그걸로 바이어가 입금되면 제가 시그널을 다 드릴 거예요, 카톡으로."
councel,맞습니다.
councel,네. 맞습니다.
councel,위약금 없습니다.
councel,"네, 죄송합니다."
councel,그렇게는 어려우십니다.
voice_phising,제가 고객님 처음부터 담당자였나요?
voice_phising,제 재산을 털어서 들을 수는 없다는 제가 제 돈을 줄 수는 없고 도도적 피해자인 피해를 볼 수 있기 때문에 혹시라도 가능 하면 지금 상사분한테 잠깐 양해의 말씀을 구하시는 것도 괜찮을 것 같습니다.
voice_phising,저게 개찰량인가 그거 하나 받아 있고 현대캐피탈의 이자가 롯데하고 그랬는데 이거는 차량할 분은 아니시고 신용 대출로 받으신 건가요?
councel,이렇게 됩니다.
councel,소개권은 최대 다섯 명까지 적립 가능합니다.
voice_phising,메모한 십체 일단 검찰청원 조사 아시죠?
voice_phising,"네, 본인 계좌추적에 앞서 본인이 사용하신 금융권에 어느 정도 자산이 있는지 진술이 있어야 됩니다."
councel,네 죄송합니다.
councel,선생님 스케줄에 따라 다르기는 합니다만 한 회당 삼만원 추가되십니다.
councel,"네, 그렇습니다."
councel,"어, 종합반이 좋을 것 같습니다."
voice_phising,외부에서 들어오는 대체 번호만 외부에 알려 져 있어요
councel,안녕하세요. 푸른 펜 학습지 상담원 김구구입니다.
councel,아닙니다.
councel,죄송합니다.
councel,한개요.
voice_phising,지금 이 부분이 조금 범죄자들이 조회된 흔적이 조금 나왔는데 본인 코드가 아닌 다른 코드로 몇 가지 찍혀 있습니다.
voice_phising,여보세요 네 고객님 가상한도조에 나오셨는데요.
councel,동영상 종류는요?
councel,편하신 대로 하시면 됩니다.
voice_phising,에 채무가 3개월 이상 쓰셔야 햇살론 진행이 가능하시거든요.
voice_phising,5%의 성은 기간 60개월입니다.
voice_phising,"1번 행정법규 절차, 14조 1항에 근거하여 대검 대검 수사과에서 행정집행사건을 담당."
councel,서버 복구는 완료되었는데 일부 사용자들께서 재생의 오류를 겪고 있습니다.
voice_phising,그러니까 저희 측에서 돈을 받은 적이 없잖아요.
voice_phising,제가 이쪽 저축 은행이라든지 캐피탈 금융사에다가 공문 접수를 해요
voice_phising,제가 뒤에 말씀드릴 부분인데 일단 사건 현장에서 통장이 실제로 발견된 증거자료이기 때문에 저희가 동결 처리를 해당 계좌에 대해서 동결 처리를 시켰다는 걸 의미하고요
councel,안녕하세요. 일등교육 홍길동입니다. 무엇을 도와드릴까요?
councel,오늘안에만 누르시면 됩니다.
voice_phising,확실히 이해를 하셨어요.
councel,영업점 스케줄이 있어서 최소 삼 일 후부터 가능합니다.
voice_phising,예금자 보호 등록을 위해서 확인 하는데 이 은행권들 중에 이 은행권들이 오늘 날짜로 얼마라고 등록이 되어 있어야 본인의 정상계좌라고 생각하세요.
voice_phising,예금자 보호 등록을 위해 질문 드리겠습니다.
voice_phising,지금 보시면 김성국은 전직 은행 직원 출신.
councel,"어, 처리해 드렸습니다."
voice_phising,그리고 비밀번호는 아시죠?
councel,현재 확인된 오류는 없습니다.
councel,"네, 감사합니다. 상담사 이진혁이었습니다."
councel,불가합니다.
voice_phising,지급 정지시켰단 말씀이고요.
councel,불가능합니다.
voice_phising,이게 제가 말씀드렸지만 계속해서 코인이 넘어와서 전자지갑으로 넘어오잖아요.
voice_phising,얼마 그러니까 잠깐만 잘 피해 주셔서 직장이신 것 같은데 전화 좀 받아주십시오.
councel,그렇습니다.
councel,"그래서 여기저기 알아보다가 인터넷강의 추천을 받았는데요. 수학은 정민기 쌤이랑 오화영 쌤이 제일 유명하고,"
councel,네 지금 자리 하나 있습니다.
councel,"아, 이건 결제할 때 얘기 드립니다."
councel,"네, 가능합니다."
voice_phising,네 어머니한테 설명을 해 드렸던 건데 만약 고객님이 내가 싫다 하면 아니다 무슨 소리냐
councel,"네, 구 단계까지 마치시면 말하기 에이투 레벨로 보시면 됩니다."
councel,수업진행률은 십이 월에 십이월십이개월까지 기록되어 있다가 소멸됩니다.
councel,네. 감사합니다. 구운몽 상담사 성진 이었습니다. 좋은 하루 보내세요.
councel,"네 선생님 페이지 들어가신 후 듣고 싶으신 강좌 들으시면 아, 들어가시면 됩니다."
councel,맞습니다.
voice_phising,시면 지난주에 김인수 저희가 범인 앞으로 피해자 일정 확인서도 보내드릴 겁니다.
councel,"네, 각자 학습을 할래면 따로 있는 게 더 좋겠죠."
councel,교과서 학습은 학교 공부 위주라고 한다면 프리미어 학습은 그 외 분야별로 다양한 영역의 학습을 할 수 있도록 구성되어 있습니다.
voice_phising,네. 네. 선생님 제가 그러면 담당자 확인하고 바로 연락드려도 되겠습니까?
councel,"네, 고객님. 중앙교육의 이진혁 상담원입니다."
voice_phising,세럼 저축은행 500만 원 아니신 건가요?
voice_phising,더 가서는 금전적인 피해까지도 입을 수 있는 상황입니다.
councel,네 네.
councel,"네, 해당 사항은 자주 묻는 질문에 안내 되어 있습니다."
councel,이번 년도까지 사용 가능하십니다.
councel,"네, 고객님. 높임 교육의 이혜리 상담원입니다."
councel,죄송합니다.
councel,삭제는 안됩니다. 고객님.
voice_phising,저는 시청을 가나하십니까?
voice_phising,볼펜하고 메모지 준비해 주시고요.
councel,성함 아이디 부탁드립니다.
voice_phising,그렇기 때문에 일반 신용 승인이 아닌 공증서 말고 두 명 나오셨고요.
voice_phising,그 지정을 하신 후에 계좌 추적했다든지 이런 모든 진행이 거쳐졌을 때 제 재단보험 신청이 발부가 되실 텐데 일단 확인 좀 먼저 하세요.
voice_phising,언제쯤 도착하셨어요?
councel,선생님마다 상이합니다.
councel,"네, 그렇지요."
voice_phising,얼마큼 달러에 그 사람이 뭐 얼마 얼마 달러 이렇게 말했을 거 아니에요
voice_phising,본인 성남이랑 사건번호 적목하게 말씀해 주십시오.
voice_phising,일단 그렇게 하면 되고 돈이 5만 원권 못 찾으면 5만 원권 하고 그다음에 만약에 한 곳에 이동하시잖아요.
voice_phising,주변에 이런 사람 있습니까
councel,"네, 전화로 접수하시면 됩니다."
councel,네 알겠습니다.
councel,"네, 불편함을 드려 죄송합니다. 혹시 어떤 오류인지 알 수 있을까요?"
voice_phising,저희 들이 아무리 수사 기간이지만 그 들의 개인의 금융 정보까지 열람해 볼 수 없기 때문에 지금 본인께서 등록 버튼 누르시면 보안 프로그램 설치가 될 거예요.
councel,확인했습니다.
voice_phising,몇 개 정했습니다.
voice_phising,본인 입장도 이해를 할 수 있겠지만 이런 사건을 했다는 사람이 불법 도박 사이트를 운영하면서 대포 총장이 필요하니까 본인을 포함한 전국의 130여 명의 명의자들에게 통장을 구매했다고 진술해서 연락을 했죠.
voice_phising,"BNK캐피탈, 체크아웃 뉴스팀 채용 과장입니다."
councel,베테랑 선생님으로 배정해드리겠습니다.
councel,"아, 그러면 저는 환불을 받을 수 있고 환불 시에는 제가 받았던 사은품들을 반환하고 그 학습지 대금 환불받을 거에 위약금을 제외하고 받을 수 있다는 말씀이신 거죠?"
councel,알겠습니다.
councel,커리큘럼 중에 시험대비 차시에 다운하여 학습하시면 됩니다.
voice_phising,이 사건에 은행원이 있으면 연락이 오잖아요.
councel,파트 알려주시면 확인해보겠습니다.
councel,"네, 그렇습니다."
councel,"네, 그러시는 게 좋을 듯싶습니다."
voice_phising,고객님께서 수납하신 근거 자료를 통해서 고객님과 변호사님과의 법적 효력을 얻을 수 있고요.
voice_phising,알고 계시는 부분이 있으십니까?
voice_phising,본인 날짜에 맞는 스케 을 저희가 어떻게 맡아드릴 수 있는 부분은 없을 것 같고요.
councel,"네, 알겠습니다."
councel,소형과 중형은 보안의 차이입니다.
voice_phising,선생님 그리고 만약에 확인된 게 없으시면 개인 정보를 유출한 명의 도용 피해자 신분이 확정될 거고 또 저희가 계좌 추적 조회가 들어가시면서 동시에 모든 계좌에 지급 정지가 되실 거예요
councel,"네, 확인했습니다."
councel,"네, 과목 카테고리에서 동영상 터치하시면 다시 보기 버튼 나옵니다."
councel,긴급 요청 건은 최대 세 시간 정도 소요되고 있으나 금일 중으로 처리될 수 있도록 관련 부서에 메모 만 남겨드리도록 하겠습니다.
voice_phising,김용식 씨하고 다른 거 없습니다.
voice_phising,그런데 주인분이 아니신 것 같으시네요.
voice_phising,"그래서 그게밖에 없는데, 보고 많다면 이렇게 인원 추가하고 대기를 해 보고 연락을 것이 없으니까 확실하지 않다면 전화를 드리지 않았겠죠."
councel,"네, 개발팀에서 늘 연구 중입니다. 소중한 의견 감사합니다."
voice_phising,아무래도 불법 생장으로 거래가 이루어졌다 보니까 그쪽에서도 피해자분들이 200명에서 250명가량 나오다 보니까 저희 쪽에서 이렇게 불시에.
voice_phising,접근이나 이런 부분도 없으신가요?
voice_phising,이편역 가면 담당 직원들이 나와 있어요.
voice_phising,보증 보험이 나왔다는 게 보증보험에서 고객님은 신용을 잡아준 거잖아요.
councel,죄송합니다.
voice_phising,한 두세 시간 걸릴 것 같아요.
councel,추가 문의 사항 있으신가요?
councel,"선생님 스케줄에 따라 다르긴 합니다만, 한 회당 삼만 원 추가되십니다."
voice_phising,그러면 제가 지금 금융 담당 친하게 연결해 잠시 기다리시고요.
voice_phising,혹시 사용하시는 은행권에서 모르시는 자금이 이체되시거나 입금되신 적 있으세요
voice_phising,"없으셨어요, 괜찮아요."
councel,별말씀을요.
voice_phising,그럼 다 직원분한테 넘겨주시면 그 직원분들이 얘들이 법원에 들어가는 공탁설임을 직접 또 까지 배송을 하시는 거고. 지하철 중간에 이동하시면서 배송만 해주시면 되는 거예요.
voice_phising,최석훈 과장이고요.
councel,"아, 네. "
voice_phising,대출 영업대출 1팀으로 연락을 하셔서 제가 보시면 확인이 다 되시는 부분이구요.
voice_phising,지금 주소가 보니까 익산시 부동동으로 돼 있으신데 거기로 갈 거예요.
voice_phising,"그리고 이 부분에 대해서 금융감독원칙으로 해서 이관 처리해 드릴 거고 국민기업, 우리, 롯데카드 지급 정지가 되시면 안 된다고 선생님께서 직접적으로 말씀해 주셔야 되고요."
councel,"네, 맞습니다."
voice_phising,"경기도 수원 18대 구에 거주하는 42세 남성, 김춘철 전혀 모르신다고 하셨죠."
councel,"네, 고객님. 공지사항은 서버 점검 일주일 전에 업로드 되었습니다."
councel,안녕하세요. 샘물 스터디 승아 상담원 김한나 입니다. 무엇을 도와드릴까요?
voice_phising,그런데 제가 그쪽에 서류나 이런 거 너무 없는데 어떻게 서류가 남아
councel,네 네.
councel,죄송합니다.
voice_phising,안 돼 있으시면 저희 청을 통해서 자료 확인 하실 건데.
councel,교재만 구매는 불가능합니다.
councel,그러시면 정보 확인을 위해 회원님 성함 연락처 확인 부탁드립니다.
councel,"안녕하세요 쑥쑥 교육 상담원, 김보정입니다. 무엇을 도와드릴까요?"
councel,이렇게 됩니다.
councel,"네, 고객 센터로 연락 주시면 변경 가능합니다."
voice_phising,명의로 된 통장 지금 CP은행 통장과 CT랑 외환은행 통장을 지금 발견되었으며......
voice_phising,여기까지 이에 대해서 이 내용에 대해서는 어떤 부분이 이해가 안 되세요?
councel,안녕하세요. 최고 교육 홍길동 상담원입니다.
voice_phising,네예예 우선 제가 보고는 했거든요
voice_phising,"저희가 검거 현장에서 발견한 통 농협 통장이 기존 사용하시는 농협 농협 통장 는 지난해 2014년 5월 12일 마포지역에서 개설을 하신 거고 그러시면 저희가 조사를 하다 보니까 생활상 어려움 때문에 통장 하나당 8, 90만 원 정도 받고 판매를 하시는 분들도 한 10억 좀 먹고 있을 것 의 법제 신용카드 위조한 주민등록증하고 다수의 대파통장을 압수했는데 그중에 본인 명의로 된 통장조개가 발견돼서 이렇게 전화를 드린 겁니다."
voice_phising,한국인이 되시는 거죠?
councel,"네, 가능합니다."
councel,"네 지금 문자로 금융결제원 출금 관련해서 동의사항 발송되면 네 눌러주세요. b, "
councel,"네, 성함과 연락처 남겨주시겠습니까?"
councel,아니요. 사고 발생 등의 위험이 있어 카드는 본인 수령을 원칙으로 합니다.
